source_code,source,destination_code,destination,religious_background,count,source_population,rate_per_1000
N09000005,derry_strabane,N09000001,antrim_and_newtownabbey,other,6,1484,4.043127
N09000005,derry_strabane,N09000001,antrim_and_newtownabbey,none,12,5293,2.267145
N09000005,derry_strabane,N09000002,armagh_banbridge_craigavon,catholic,43,109131,0.394022
N09000005,derry_strabane,N09000002,armagh_banbridge_craigavon,protestant,30,34848,0.860882
N09000005,derry_strabane,N09000002,armagh_banbridge_craigavon,other,2,1484,1.347709
N09000005,derry_strabane,N09000002,armagh_banbridge_craigavon,none,17,5293,3.211789
N09000005,derry_strabane,N09000003,belfast,catholic,456,109131,4.178464
N09000005,derry_strabane,N09000003,belfast,protestant,76,34848,2.1809
N09000005,derry_strabane,N09000003,belfast,other,12,1484,8.086253
N09000005,derry_strabane,N09000003,belfast,none,237,5293,44.776119
N09000005,derry_strabane,N09000004,causeway_coast_glens,catholic,196,109131,1.796007
N09000005,derry_strabane,N09000004,causeway_coast_glens,protestant,111,34848,3.185262
N09000005,derry_strabane,N09000004,causeway_coast_glens,other,3,1484,2.021563
N09000005,derry_strabane,N09000004,causeway_coast_glens,none,82,5293,15.492159
N09000005,derry_strabane,N09000006,fermanagh_omagh,catholic,139,109131,1.273699
N09000005,derry_strabane,N09000006,fermanagh_omagh,protestant,58,34848,1.664371
N09000005,derry_strabane,N09000006,fermanagh_omagh,other,2,1484,1.347709
N09000005,derry_strabane,N09000006,fermanagh_omagh,none,29,5293,5.478934
N09000005,derry_strabane,N09000007,lisburn_castlereagh,catholic,31,109131,0.284062
N09000005,derry_strabane,N09000007,lisburn_castlereagh,protestant,14,34848,0.401745
N09000005,derry_strabane,N09000007,lisburn_castlereagh,other,4,1484,2.695418
N09000005,derry_strabane,N09000007,lisburn_castlereagh,none,24,5293,4.534291
N09000005,derry_strabane,N09000008,mid_east_antrim,catholic,27,109131,0.247409
N09000005,derry_strabane,N09000008,mid_east_antrim,protestant,19,34848,0.545225
N09000005,derry_strabane,N09000008,mid_east_antrim,other,2,1484,1.347709
N09000005,derry_strabane,N09000008,mid_east_antrim,none,27,5293,5.101077
N09000005,derry_strabane,N09000009,mid_ulster,catholic,55,109131,0.503981
N09000005,derry_strabane,N09000009,mid_ulster,protestant,16,34848,0.459137
N09000005,derry_strabane,N09000009,mid_ulster,other,2,1484,1.347709
N09000005,derry_strabane,N09000009,mid_ulster,none,22,5293,4.156433
N09000005,derry_strabane,N09000010,newry_mourne_down,catholic,62,109131,0.568125
N09000005,derry_strabane,N09000010,newry_mourne_down,protestant,9,34848,0.258264
N09000005,derry_strabane,N09000010,newry_mourne_down,other,1,1484,0.673854
N09000005,derry_strabane,N09000010,newry_mourne_down,none,21,5293,3.967504
N09000005,derry_strabane,N09000011,ards_north_down,catholic,15,109131,0.137449
N09000005,derry_strabane,N09000011,ards_north_down,protestant,22,34848,0.631313
N09000005,derry_strabane,N09000011,ards_north_down,none,7,5293,1.322501
N09000006,fermanagh_omagh,N09000001,antrim_and_newtownabbey,catholic,20,75097,0.266322
N09000006,fermanagh_omagh,N09000001,antrim_and_newtownabbey,protestant,35,35856,0.976127
N09000006,fermanagh_omagh,N09000001,antrim_and_newtownabbey,none,29,4786,6.05934
N09000006,fermanagh_omagh,N09000002,armagh_banbridge_craigavon,catholic,40,75097,0.532644
N09000006,fermanagh_omagh,N09000002,armagh_banbridge_craigavon,protestant,30,35856,0.83668
N09000006,fermanagh_omagh,N09000002,armagh_banbridge_craigavon,other,1,1073,0.931966
N09000006,fermanagh_omagh,N09000002,armagh_banbridge_craigavon,none,16,4786,3.343084
N09000006,fermanagh_omagh,N09000003,belfast,catholic,357,75097,4.753852
N09000006,fermanagh_omagh,N09000003,belfast,protestant,108,35856,3.012048
N09000006,fermanagh_omagh,N09000003,belfast,other,7,1073,6.523765
N09000006,fermanagh_omagh,N09000003,belfast,none,148,4786,30.923527
N09000006,fermanagh_omagh,N09000004,causeway_coast_glens,catholic,55,75097,0.732386
N09000006,fermanagh_omagh,N09000004,causeway_coast_glens,protestant,34,35856,0.948237
N09000006,fermanagh_omagh,N09000004,causeway_coast_glens,none,17,4786,3.552027
N09000006,fermanagh_omagh,N09000005,derry_strabane,catholic,96,75097,1.278347
N09000006,fermanagh_omagh,N09000005,derry_strabane,protestant,68,35856,1.896475
N09000006,fermanagh_omagh,N09000005,derry_strabane,none,32,4786,6.686168
N09000006,fermanagh_omagh,N09000007,lisburn_castlereagh,catholic,34,75097,0.452748
N09000006,fermanagh_omagh,N09000007,lisburn_castlereagh,protestant,21,35856,0.585676
N09000006,fermanagh_omagh,N09000007,lisburn_castlereagh,other,1,1073,0.931966
N09000006,fermanagh_omagh,N09000007,lisburn_castlereagh,none,20,4786,4.178855
N09000006,fermanagh_omagh,N09000008,mid_east_antrim,catholic,5,75097,0.066581
N09000006,fermanagh_omagh,N09000008,mid_east_antrim,protestant,8,35856,0.223115
N09000006,fermanagh_omagh,N09000008,mid_east_antrim,none,10,4786,2.089427
N09000006,fermanagh_omagh,N09000009,mid_ulster,catholic,115,75097,1.531353
N09000006,fermanagh_omagh,N09000009,mid_ulster,protestant,65,35856,1.812807
N09000006,fermanagh_omagh,N09000009,mid_ulster,other,1,1073,0.931966
N09000006,fermanagh_omagh,N09000009,mid_ulster,none,31,4786,6.477225
N09000006,fermanagh_omagh,N09000010,newry_mourne_down,catholic,29,75097,0.386167
N09000006,fermanagh_omagh,N09000010,newry_mourne_down,protestant,16,35856,0.446229
N09000006,fermanagh_omagh,N09000010,newry_mourne_down,none,16,4786,3.343084
N09000006,fermanagh_omagh,N09000011,ards_north_down,catholic,5,75097,0.066581
N09000006,fermanagh_omagh,N09000011,ards_north_down,protestant,22,35856,0.613565
N09000006,fermanagh_omagh,N09000011,ards_north_down,other,1,1073,0.931966
N09000006,fermanagh_omagh,N09000011,ards_north_down,none,14,4786,2.925198
N09000007,lisburn_castlereagh,N09000001,antrim_and_newtownabbey,catholic,86,40563,2.120159
N09000007,lisburn_castlereagh,N09000001,antrim_and_newtownabbey,protestant,100,86883,1.150973
N09000007,lisburn_castlereagh,N09000001,antrim_and_newtownabbey,other,3,2517,1.191895
N09000007,lisburn_castlereagh,N09000001,antrim_and_newtownabbey,none,112,19141,5.851314
N09000007,lisburn_castlereagh,N09000002,armagh_banbridge_craigavon,catholic,111,40563,2.736484
N09000007,lisburn_castlereagh,N09000002,armagh_banbridge_craigavon,protestant,334,86883,3.84425
N09000007,lisburn_castlereagh,N09000002,armagh_banbridge_craigavon,other,9,2517,3.575685
N09000007,lisburn_castlereagh,N09000002,armagh_banbridge_craigavon,none,213,19141,11.127945
N09000007,lisburn_castlereagh,N09000003,belfast,catholic,670,40563,16.517516
N09000007,lisburn_castlereagh,N09000003,belfast,protestant,610,86883,7.020936
N09000007,lisburn_castlereagh,N09000003,belfast,other,29,2517,11.521653
N09000007,lisburn_castlereagh,N09000003,belfast,none,742,19141,38.764955
N09000007,lisburn_castlereagh,N09000004,causeway_coast_glens,catholic,62,40563,1.528487
N09000007,lisburn_castlereagh,N09000004,causeway_coast_glens,protestant,116,86883,1.335129
N09000007,lisburn_castlereagh,N09000004,causeway_coast_glens,other,1,2517,0.397298
N09000007,lisburn_castlereagh,N09000004,causeway_coast_glens,none,60,19141,3.134632
N09000007,lisburn_castlereagh,N09000005,derry_strabane,catholic,27,40563,0.665631
N09000007,lisburn_castlereagh,N09000005,derry_strabane,protestant,24,86883,0.276234
N09000007,lisburn_castlereagh,N09000005,derry_strabane,other,3,2517,1.191895
N09000007,lisburn_castlereagh,N09000005,derry_strabane,none,29,19141,1.515072
N09000007,lisburn_castlereagh,N09000006,fermanagh_omagh,catholic,31,40563,0.764243
N09000007,lisburn_castlereagh,N09000006,fermanagh_omagh,protestant,23,86883,0.264724
N09000007,lisburn_castlereagh,N09000006,fermanagh_omagh,other,5,2517,1.986492
N09000007,lisburn_castlereagh,N09000006,fermanagh_omagh,none,22,19141,1.149365
N09000007,lisburn_castlereagh,N09000008,mid_east_antrim,catholic,10,40563,0.24653
N09000007,lisburn_castlereagh,N09000008,mid_east_antrim,protestant,61,86883,0.702094
N09000007,lisburn_castlereagh,N09000008,mid_east_antrim,other,1,2517,0.397298
N09000007,lisburn_castlereagh,N09000008,mid_east_antrim,none,59,19141,3.082389
N09000007,lisburn_castlereagh,N09000009,mid_ulster,catholic,34,40563,0.838202
N09000007,lisburn_castlereagh,N09000009,mid_ulster,protestant,38,86883,0.43737
N09000007,lisburn_castlereagh,N09000009,mid_ulster,none,22,19141,1.149365
N09000007,lisburn_castlereagh,N09000010,newry_mourne_down,catholic,137,40563,3.377462
N09000007,lisburn_castlereagh,N09000010,newry_mourne_down,protestant,132,86883,1.519285
N09000007,lisburn_castlereagh,N09000010,newry_mourne_down,other,13,2517,5.164879
N09000007,lisburn_castlereagh,N09000010,newry_mourne_down,none,159,19141,8.306776
N09000007,lisburn_castlereagh,N09000011,ards_north_down,catholic,70,40563,1.725711
